username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,9800,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9600,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,8100,https://github.com/bitwarden/server
ElectronNET,Electron.NET,5900,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4500,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4100,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2300,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2100,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1700,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
mjebrahimi,Awesome-Microservices-NetCore,1300,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1100,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,928,https://github.com/MarimerLLC/csla
riganti,dotvvm,546,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,525,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,465,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,442,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,410,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,386,https://github.com/YAFNET/YAFNET
Maarten88,rrod,375,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,348,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,327,https://github.com/Taritsyn/WebMarkupMin
IvanJosipovic,BlazorTable,325,https://github.com/IvanJosipovic/BlazorTable
EEParker,aspnetcore-vueclimiddleware,286,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,283,https://github.com/ALMMa/datatables.aspnet
cornflourblue,aspnet-core-jwt-authentication-api,274,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
chsakell,aspnet-core-identity,269,https://github.com/chsakell/aspnet-core-identity
ElectronNET,electron.net-api-demos,250,https://github.com/ElectronNET/electron.net-api-demos
