username,repo_name,stars,repo_url
serverless,serverless,40500,https://github.com/serverless/serverless
localstack,localstack,33600,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,21500,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,12400,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,11900,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,11300,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,11000,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,9600,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,9600,https://github.com/donnemartin/awesome-aws
apereo,cas,8900,https://github.com/apereo/cas
aws-amplify,amplify-js,8300,https://github.com/aws-amplify/amplify-js
apex,up,8300,https://github.com/apex/up
aws,chalice,8200,https://github.com/aws/chalice
aws,serverless-application-model,8100,https://github.com/aws/serverless-application-model
mozilla,sops,8000,https://github.com/mozilla/sops
google,go-cloud,7900,https://github.com/google/go-cloud
cortexlabs,cortex,7600,https://github.com/cortexlabs/cortex
caprover,caprover,7500,https://github.com/caprover/caprover
aws,aws-cdk,7200,https://github.com/aws/aws-cdk
aws,aws-sdk-go,7100,https://github.com/aws/aws-sdk-go
aws,aws-sdk-js,6700,https://github.com/aws/aws-sdk-js
angristan,openvpn-install,6600,https://github.com/angristan/openvpn-install
boto,boto3,6600,https://github.com/boto/boto3
awslabs,aws-shell,6200,https://github.com/awslabs/aws-shell
hashicorp,terraform-provider-aws,6100,https://github.com/hashicorp/terraform-provider-aws
aws,amazon-sagemaker-examples,5900,https://github.com/aws/amazon-sagemaker-examples
aws,aws-sam-cli,5600,https://github.com/aws/aws-sam-cli
gruntwork-io,terratest,5500,https://github.com/gruntwork-io/terratest
donnemartin,dev-setup,5500,https://github.com/donnemartin/dev-setup
GoogleCloudPlatform,terraformer,5400,https://github.com/GoogleCloudPlatform/terraformer
