username,repo_name,stars,repo_url
flutter,flutter,128000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,82200,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,53200,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,45500,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,43600,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,41100,https://github.com/wasabeef/awesome-android-ui
square,okhttp,40600,https://github.com/square/okhttp
android,architecture-samples,39300,https://github.com/android/architecture-samples
square,retrofit,38500,https://github.com/square/retrofit
Solido,awesome-flutter,37000,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,33800,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,32800,https://github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,31800,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,31600,https://github.com/airbnb/lottie-android
bumptech,glide,31600,https://github.com/bumptech/glide
Trinea,android-open-project,30700,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,29700,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,29400,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29300,https://github.com/bilibili/ijkplayer
zxing,zxing,28200,https://github.com/zxing/zxing
codepath,android_guides,27500,https://github.com/codepath/android_guides
skylot,jadx,26900,https://github.com/skylot/jadx
square,leakcanary,26500,https://github.com/square/leakcanary
laurent22,joplin,24700,https://github.com/laurent22/joplin
alibaba,fastjson,23700,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,22900,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22200,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21100,https://github.com/react-native-elements/react-native-elements
google,iosched,20700,https://github.com/google/iosched
NativeScript,NativeScript,20400,https://github.com/NativeScript/NativeScript
