username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,82200,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,75800,https://github.com/angular/angular
storybookjs,storybook,64099,https://github.com/storybookjs/storybook
ionic-team,ionic-framework,45100,https://github.com/ionic-team/ionic-framework
leonardomso,33-js-concepts,43100,https://github.com/leonardomso/33-js-concepts
prettier,prettier,40300,https://github.com/prettier/prettier
SheetJS,sheetjs,27000,https://github.com/SheetJS/sheetjs
angular,angular-cli,24800,https://github.com/angular/angular-cli
angular,components,21700,https://github.com/angular/components
NativeScript,NativeScript,20400,https://github.com/NativeScript/NativeScript
Eugeny,tabby,18900,https://github.com/Eugeny/tabby
jhipster,generator-jhipster,18700,https://github.com/jhipster/generator-jhipster
handsontable,handsontable,15600,https://github.com/handsontable/handsontable
teambit,bit,13900,https://github.com/teambit/bit
sweetalert2,sweetalert2,13300,https://github.com/sweetalert2/sweetalert2
goldbergyoni,javascript-testing-best-practices,12900,https://github.com/goldbergyoni/javascript-testing-best-practices
linnovate,mean,12100,https://github.com/linnovate/mean
coreui,coreui-free-bootstrap-admin-template,10900,https://github.com/coreui/coreui-free-bootstrap-admin-template
codesandbox,codesandbox-client,10800,https://github.com/codesandbox/codesandbox-client
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,9600,https://github.com/Chocobozzz/PeerTube
angular,protractor,8800,https://github.com/angular/protractor
OnsenUI,OnsenUI,8400,https://github.com/OnsenUI/OnsenUI
nrwl,nx,8100,https://github.com/nrwl/nx
text-mask,text-mask,8000,https://github.com/text-mask/text-mask
PatrickJS,awesome-angular,8000,https://github.com/PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,7800,https://github.com/ng-bootstrap/ng-bootstrap
NG-ZORRO,ng-zorro-antd,7700,https://github.com/NG-ZORRO/ng-zorro-antd
ag-grid,ag-grid,7500,https://github.com/ag-grid/ag-grid
rematch,rematch,7400,https://github.com/rematch/rematch
