username,repo_name,stars,repo_url
atom,atom,55900,https://github.com/atom/atom
dracula,dracula-theme,16300,https://github.com/dracula/dracula-theme
mjswensen,themer,4300,https://github.com/mjswensen/themer
nteract,hydrogen,3700,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3300,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,3000,https://github.com/miniflux/v2
atom,teletype,2300,https://github.com/atom/teletype
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,1700,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
ocaml,merlin,1300,https://github.com/ocaml/merlin
kurtmckee,feedparser,1300,https://github.com/kurtmckee/feedparser
MagicStack,MagicPython,1300,https://github.com/MagicStack/MagicPython
atom,apm,1200,https://github.com/atom/apm
file-icons,atom,1100,https://github.com/file-icons/atom
kettanaito,atomic-layout,973,https://github.com/kettanaito/atomic-layout
atom,github,933,https://github.com/atom/github
danhper,atomic-chrome,930,https://github.com/danhper/atomic-chrome
nmdias,FeedKit,924,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,912,https://github.com/nathanbuchar/atom-one-dark-terminal
jesseweed,seti-ui,871,https://github.com/jesseweed/seti-ui
prettier,prettier-atom,761,https://github.com/prettier/prettier-atom
fwcd,kotlin-language-server,756,https://github.com/fwcd/kotlin-language-server
raphamorim,lucario,725,https://github.com/raphamorim/lucario
atom-community,atom-script,722,https://github.com/atom-community/atom-script
jasonmunro,cypht,668,https://github.com/jasonmunro/cypht
jekyll,jekyll-feed,662,https://github.com/jekyll/jekyll-feed
