username,repo_name,stars,repo_url
sindresorhus,awesome,167000,https://github.com/sindresorhus/awesome
vinta,awesome-python,102000,https://github.com/vinta/awesome-python
avelino,awesome-go,67400,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,62400,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,47500,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,46900,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,46000,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,45500,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,45200,https://github.com/jaywcjlove/awesome-mac
sindresorhus,awesome-nodejs,42100,https://github.com/sindresorhus/awesome-nodejs
DopplerHQ,awesome-interview-questions,42100,https://github.com/DopplerHQ/awesome-interview-questions
wasabeef,awesome-android-ui,41100,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,38100,https://github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,37900,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,37000,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,35500,https://github.com/binhnguyennus/awesome-scalability
MunGell,awesome-for-beginners,34000,https://github.com/MunGell/awesome-for-beginners
fffaraz,awesome-cpp,32900,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,32600,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,31900,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,29700,https://github.com/akullpp/awesome-java
dkhamsing,open-source-ios-apps,28000,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,27700,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,26700,https://github.com/serhii-londar/open-source-mac-os-apps
ziadoz,awesome-php,25600,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25500,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23300,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,22000,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,21800,https://github.com/sindresorhus/awesome-electron
rust-unofficial,awesome-rust,21400,https://github.com/rust-unofficial/awesome-rust
