username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,93700,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,50800,https://github.com/nvm-sh/nvm
junegunn,fzf,38500,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,27500,https://github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,26700,https://github.com/mathiasbynens/dotfiles
koalaman,shellcheck,25700,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,23200,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22000,https://github.com/alebcay/awesome-shell
LeCoupa,awesome-cheatsheets,21500,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,18200,https://github.com/starship/starship
jaywcjlove,linux-command,16600,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,13600,https://github.com/Nyr/openvpn-install
powerline,powerline,12700,https://github.com/powerline/powerline
shelljs,shelljs,12600,https://github.com/shelljs/shelljs
dylanaraps,neofetch,12600,https://github.com/dylanaraps/neofetch
Bash-it,bash-it,12400,https://github.com/Bash-it/bash-it
faressoft,terminalizer,11800,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,11200,https://github.com/jessfraz/dockerfiles
denisidoro,navi,9600,https://github.com/denisidoro/navi
rgcr,m-cli,8500,https://github.com/rgcr/m-cli
codota,TabNine,8500,https://github.com/codota/TabNine
alexanderepstein,Bash-Snippets,8400,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8000,https://github.com/kanaka/mal
direnv,direnv,7800,https://github.com/direnv/direnv
angristan,openvpn-install,6600,https://github.com/angristan/openvpn-install
enquirer,enquirer,6100,https://github.com/enquirer/enquirer
carlospolop,PEASS-ng,6100,https://github.com/carlospolop/PEASS-ng
webpro,awesome-dotfiles,6000,https://github.com/webpro/awesome-dotfiles
b-ryan,powerline-shell,5700,https://github.com/b-ryan/powerline-shell
oldratlee,useful-scripts,5600,https://github.com/oldratlee/useful-scripts
