username,repo_name,stars,repo_url
ccxt,ccxt,20700,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,16100,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,15900,https://github.com/hubotio/hubot
discordjs,discord.js,14300,https://github.com/discordjs/discord.js
timgrossmann,InstaPy,13100,https://github.com/timgrossmann/InstaPy
RasaHQ,rasa,12500,https://github.com/RasaHQ/rasa
gunthercox,ChatterBot,11400,https://github.com/gunthercox/ChatterBot
howdyai,botkit,10400,https://github.com/howdyai/botkit
botpress,botpress,9300,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8400,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,7800,https://github.com/leon-ai/leon
tgbot-collection,YYeTsBot,7300,https://github.com/tgbot-collection/YYeTsBot
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,ailab,6700,https://github.com/microsoft/ailab
microsoft,botframework-sdk,6600,https://github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6000,https://github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,5500,https://github.com/yagop/node-telegram-bot-api
botman,botman,5500,https://github.com/botman/botman
deepmipt,DeepPavlov,5400,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,4900,https://github.com/telegraf/telegraf
axa-group,nlp.js,4500,https://github.com/axa-group/nlp.js
jef,streetmerchant,4400,https://github.com/jef/streetmerchant
ohld,igbot,4000,https://github.com/ohld/igbot
PokemonGoF,PokemonGo-Bot,3700,https://github.com/PokemonGoF/PokemonGo-Bot
Yoctol,bottender,3700,https://github.com/Yoctol/bottender
snipsco,snips-nlu,3500,https://github.com/snipsco/snips-nlu
goq,telegram-list,3200,https://github.com/goq/telegram-list
orkestral,venom,3000,https://github.com/orkestral/venom
jesse-ai,jesse,2900,https://github.com/jesse-ai/jesse
pedroslopez,whatsapp-web.js,2800,https://github.com/pedroslopez/whatsapp-web.js
