username,repo_name,stars,repo_url
CyC2018,CS-Notes,137000,https://github.com/CyC2018/CS-Notes
tuvtran,project-based-learning,54800,https://github.com/tuvtran/project-based-learning
azl397985856,leetcode,43600,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37200,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,32900,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,22600,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,21600,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,19900,https://github.com/huihut/interview
yuzu-emu,yuzu,16000,https://github.com/yuzu-emu/yuzu
youngyangyang04,leetcode-master,14800,https://github.com/youngyangyang04/leetcode-master
changkun,modern-cpp-tutorial,14600,https://github.com/changkun/modern-cpp-tutorial
TheAlgorithms,C-Plus-Plus,13800,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,vcpkg,13500,https://github.com/microsoft/vcpkg
facebook,infer,12500,https://github.com/facebook/infer
AnthonyCalandra,modern-cpp-features,12500,https://github.com/AnthonyCalandra/modern-cpp-features
gabime,spdlog,12400,https://github.com/gabime/spdlog
Qv2ray,Qv2ray,12000,https://github.com/Qv2ray/Qv2ray
CoatiSoftware,Sourcetrail,11700,https://github.com/CoatiSoftware/Sourcetrail
ethereum,solidity,11600,https://github.com/ethereum/solidity
google,tink,11500,https://github.com/google/tink
ssloy,tinyrenderer,11100,https://github.com/ssloy/tinyrenderer
antlr,antlr4,10500,https://github.com/antlr/antlr4
SFTtech,openage,10400,https://github.com/SFTtech/openage
kyleneideck,BackgroundMusic,10000,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,9800,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9200,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8700,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8500,https://github.com/codota/TabNine
nasa,fprime,8400,https://github.com/nasa/fprime
rigtorp,awesome-modern-cpp,8300,https://github.com/rigtorp/awesome-modern-cpp
