username,repo_name,stars,repo_url
Genymobile,scrcpy,53200,https://github.com/Genymobile/scrcpy
neovim,neovim,46400,https://github.com/neovim/neovim
git,git,39000,https://github.com/git/git
fffaraz,awesome-cpp,32900,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,30300,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,26700,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,25800,https://github.com/FFmpeg/FFmpeg
vim,vim,24500,https://github.com/vim/vim
ggreer,the_silver_searcher,22400,https://github.com/ggreer/the_silver_searcher
curl,curl,21600,https://github.com/curl/curl
huihut,interview,19900,https://github.com/huihut/interview
ruby,ruby,18400,https://github.com/ruby/ruby
google,flatbuffers,16700,https://github.com/google/flatbuffers
oracle,graal,15700,https://github.com/oracle/graal
mpv-player,mpv,15700,https://github.com/mpv-player/mpv
pbatard,rufus,15600,https://github.com/pbatard/rufus
radareorg,radare2,14800,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14500,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,13700,https://github.com/allinurl/goaccess
microsoft,vcpkg,13500,https://github.com/microsoft/vcpkg
vurtun,nuklear,13300,https://github.com/vurtun/nuklear
facebook,infer,12500,https://github.com/facebook/infer
jarun,nnn,12100,https://github.com/jarun/nnn
kovidgoyal,kitty,12000,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,11700,https://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,10500,https://github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10300,https://github.com/hashcat/hashcat
qmk,qmk_firmware,10300,https://github.com/qmk/qmk_firmware
jonas,tig,10200,https://github.com/jonas/tig
TheAlgorithms,C,10000,https://github.com/TheAlgorithms/C
