username,repo_name,stars,repo_url
httpie,httpie,51700,https://github.com/httpie/httpie
junegunn,fzf,38500,https://github.com/junegunn/fzf
sharkdp,bat,28900,https://github.com/sharkdp/bat
wagoodman,dive,27200,https://github.com/wagoodman/dive
BurntSushi,ripgrep,26800,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,26700,https://github.com/chubin/cheat.sh
sherlock-project,sherlock,26400,https://github.com/sherlock-project/sherlock
angular,angular-cli,24800,https://github.com/angular/angular-cli
cli,cli,24400,https://github.com/cli/cli
spf13,cobra,22800,https://github.com/spf13/cobra
alebcay,awesome-shell,22000,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,20800,https://github.com/jesseduffield/lazygit
google,python-fire,19900,https://github.com/google/python-fire
avajs,ava,19200,https://github.com/avajs/ava
tqdm,tqdm,19100,https://github.com/tqdm/tqdm
vercel,pkg,18600,https://github.com/vercel/pkg
sharkdp,fd,18600,https://github.com/sharkdp/fd
n8n-io,n8n,17200,https://github.com/n8n-io/n8n
chalk,chalk,16900,https://github.com/chalk/chalk
vadimdemedes,ink,16600,https://github.com/vadimdemedes/ink
svg,svgo,16500,https://github.com/svg/svgo
urfave,cli,16400,https://github.com/urfave/cli
ibraheemdev,modern-unix,15700,https://github.com/ibraheemdev/modern-unix
gpakosz,.tmux,14700,https://github.com/gpakosz/.tmux
FormidableLabs,webpack-dashboard,13800,https://github.com/FormidableLabs/webpack-dashboard
allinurl,goaccess,13700,https://github.com/allinurl/goaccess
infinitered,ignite,12800,https://github.com/infinitered/ignite
pomber,git-history,12600,https://github.com/pomber/git-history
jarun,nnn,12100,https://github.com/jarun/nnn
asdf-vm,asdf,11600,https://github.com/asdf-vm/asdf
