username,repo_name,stars,repo_url
vercel,next.js,72100,https://github.com/vercel/next.js
webpack,webpack,59100,https://github.com/webpack/webpack
rust-lang,rust,57900,https://github.com/rust-lang/rust
gatsbyjs,gatsby,51100,https://github.com/gatsbyjs/gatsby
sveltejs,svelte,49500,https://github.com/sveltejs/svelte
babel,babel,39500,https://github.com/babel/babel
parcel-bundler,parcel,38800,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,38400,https://github.com/JetBrains/kotlin
evanw,esbuild,26600,https://github.com/evanw/esbuild
markedjs,marked,25600,https://github.com/markedjs/marked
vlang,v,25100,https://github.com/vlang/v
vercel,pkg,18600,https://github.com/vercel/pkg
v8,v8,18100,https://github.com/v8/v8
swc-project,swc,14300,https://github.com/swc-project/swc
AssemblyScript,assemblyscript,12500,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12300,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,11700,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10400,https://github.com/gopherjs/gopherjs
ziglang,zig,10100,https://github.com/ziglang/zig
compiler-explorer,compiler-explorer,9200,https://github.com/compiler-explorer/compiler-explorer
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
apache,tvm,7100,https://github.com/apache/tvm
numba,numba,6800,https://github.com/numba/numba
elm,compiler,6500,https://github.com/elm/compiler
aalhour,awesome-compilers,6200,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,5700,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,5500,https://github.com/DoctorWkt/acwj
lebab,lebab,5400,https://github.com/lebab/lebab
rescript-lang,rescript-compiler,5400,https://github.com/rescript-lang/rescript-compiler
enso-org,enso,5000,https://github.com/enso-org/enso
